order_id,combination_registration_no,case_name,decision_date,provision,penalty_43a,penalty_44,penalty_45,total_penalty,penalty_source_page,penalty_source_text,conduct_type,transaction_type,sector,notification_issue,gun_jumping_type,voluntary_disclosure,cooperation,mitigating_factors,aggravating_factors,source_url,pdf_url,include_default,is_outlier,verified,notes
FAKE-001,CR-2018-05-014,[FAKE SAMPLE] Alpha Retail Ltd / Beta Mart Pvt Ltd,2018-11-20,43A,500000.0,,,500000,,,Gun Jumping,Acquisition,Retail,Failure to notify before consummation,Pre-consummation closing,No,Partial,First-time filer,Delay of 6 months before notifying,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-001.pdf,True,False,False,Illustrative only - not a real CCI case
FAKE-002,CR-2019-02-027,[FAKE SAMPLE] Delta Pharma / Gamma Life Sciences,2019-06-15,44,,300000.0,,300000,,,Delayed Notification,Merger,Pharmaceuticals,Notification filed after statutory deadline,,Yes,Full,Voluntary disclosure; fully cooperative,,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-002.pdf,True,False,False,Illustrative only - not a real CCI case
FAKE-003,CR-2019-08-041,[FAKE SAMPLE] Omega Technologies / Sigma Softworks,2019-12-02,43A+44,800000.0,400000.0,,1200000,,,Gun Jumping,Acquisition,Technology,Failure to notify and delayed filing,Post-closing integration before approval,No,,,Repeat conduct across group entities,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-003.pdf,True,True,False,Illustrative outlier - unusually large combined penalty
FAKE-004,CR-2020-01-009,[FAKE SAMPLE] Nova Infrastructure / Orion Builders,2020-03-30,43A,200000.0,,,200000,,,Delayed Notification,Joint Venture,Infrastructure,Notification filed two months late,,Yes,Full,Prompt voluntary filing after internal discovery,,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-004.pdf,True,False,False,Illustrative only - not yet verified against order text
FAKE-005,CR-2020-07-018,[FAKE SAMPLE] Zenith FMCG / Crestline Foods,2020-09-11,44,,150000.0,,150000,,,Standstill Violation,Acquisition,FMCG,Consummation before CCI approval,,No,Partial,,Minor standstill breach of 10 days,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-005.pdf,True,False,False,Illustrative only - not a real CCI case
FAKE-006,CR-2021-03-033,[FAKE SAMPLE] Pinnacle Telecom / Skyline Communications,2021-05-19,43A,5000000.0,,,5000000,,,Gun Jumping,Merger,Telecom,Failure to notify before closing a large transaction,Full closing without notification,No,,,Large deal value; deliberate non-disclosure alleged,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-006.pdf,True,True,False,Illustrative outlier - unusually high penalty amount
FAKE-007,CR-2021-09-052,[FAKE SAMPLE] Meridian Banking Corp / Coastal Finance,2021-11-08,43A+44+45,300000.0,200000.0,100000.0,600000,,,Gun Jumping,Acquisition,Banking,Failure to notify plus delayed filing plus non-compliance with a prior CCI direction,Partial closing pending review,No,Partial,,Multiple provisions breached in same transaction,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-007.pdf,True,False,False,Illustrative only - tests multi-provision penalty handling
FAKE-008,CR-2022-02-006,[FAKE SAMPLE] Solaris Energy / Windward Power,2022-04-25,44,,100000.0,,100000,,,Delayed Notification,Share Subscription,Energy,Notification filed after statutory deadline,,Yes,Full,Cooperative throughout proceedings,,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-008.pdf,True,False,False,Illustrative only - not a real CCI case
FAKE-009,CR-2022-10-021,[FAKE SAMPLE] Vertex Retail Holdings / Uptown Stores,2022-12-14,43A,350000.0,,,350000,,,Gun Jumping,Acquisition,Retail,Failure to notify before consummation,Pre-consummation closing,No,,,,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-009.pdf,False,False,False,Illustrative only - excluded by default as a hypothetical example of a disputed order
FAKE-010,CR-2023-04-011,[FAKE SAMPLE] Horizon Logistics / Pathway Transport,2023-06-02,43A,450000.0,,,450000,,,Gun Jumping,Merger,Logistics,Failure to notify before consummation,Pre-consummation closing,No,Partial,First-time filer,Delay of 3 months,https://www.cci.gov.in/combination/orders-section43a_44,https://www.cci.gov.in/sites/default/files/fake-order-010.pdf,True,False,False,Illustrative only - not a real CCI case
